,name,rating,reviews,type,hq,old,employees
1374,Bajaj Finserv,4.1,3.8k Reviews,Public,Pune + 450 more,13 years old,10000+ employees
1375,IndusInd Bank,3.6,3.7k Reviews,Public,Mumbai + 354 more,26 years old,10000+ employees
1376,Samsung,4.2,3.5k Reviews,Private,Seoul + 286 more,82 years old,10000+ employees
1377,Indian Army,4.7,3.4k Reviews,Govt agency,New Delhi + 192 more,125 years old,10000+ employees
1378,Mahindra & Mahindra,4.3,3.2k Reviews,Public,Mumbai + 275 more,75 years old,10000+ employees
1379,Ericsson,4.1,3.1k Reviews,Private,Stockholm + 110 more,144 years old,10000+ employees
1380,TCS,3.9,16.1k Reviews,Public,Mumbai + 156 more,52 years old,10000+ employees
1381,Accenture,4.0,14.1k Reviews,Private,Dublin + 87 more,31 years old,10000+ employees
1382,ICICI Bank,4.1,12.7k Reviews,Public,Mumbai + 724 more,26 years old,10000+ employees
1383,Cognizant,3.9,12.1k Reviews,Private,Teaneck + 44 more,26 years old,10000+ employees
1384,HDFC Bank,4.0,10.8k Reviews,Public,Mumbai + 689 more,26 years old,10000+ employees
1385,Infosys,3.9,10.8k Reviews,Public,Bangalore + 64 more,39 years old,10000+ employees
1386,L&T,4.1,10.2k Reviews,Public,Mumbai + 333 more,82 years old,10000+ employees
1387,Capgemini,3.3,9.6k Reviews,Private,Paris + 42 more,53 years old,10000+ employees
1388,Tech Mahindra,3.5,9.1k Reviews,Public,Pune + 138 more,34 years old,10000+ employees
1389,HCL Technologies,3.7,8.7k Reviews,Public,Noida + 106 more,14 years old,10000+ employees
1390,Tata Motors,4.1,8.3k Reviews,Public,Pune + 336 more,75 years old,10000+ employees
1391,IBM,4.0,8.2k Reviews,Private,New York + 69 more,109 years old,10000+ employees
1392,Reliance jio,4.0,7.9k Reviews,Public,Navi Mumbai + 587 more,10 years old,10000+ employees
1393,Genpact,4.0,7.6k Reviews,Private,New York + 31 more,23 years old,10000+ employees
1394,Axis Bank,4.0,7.6k Reviews,Public,Mumbai + 642 more,27 years old,10000+ employees
1395,Wipro,3.8,6.5k Reviews,Public,Bangalore + 115 more,75 years old,10000+ employees
